Problem,,,Constructive algorithm,,,Local search,,GRASP,,Known best solution or upper bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-greedy-1,Simple local or local-1,,GRASP-1,,
,,,,,,No. of iterations,Average value,No. of iterations,Best value,
G1,800,19176,9588.22,10956,11020,5,11341.2,50,11413,12078
G2,800,19176,9569.3,11030,11128,5,11338.2,50,11468,12084
G3,800,19176,9591.94,11012,11013,5,11364.0,50,11435,12077
G4,800,19176,9582.94,11031,11101,5,11343.4,50,11478,0
G5,800,19176,9556.58,10990,11053,5,11345.8,50,11430,0
G6,800,19176,72.46,1515,1598,5,1889.6,50,2006,0
G7,800,19176,-75.7,1362,1389,5,1712.2,50,1793,0
G8,800,19176,-72.62,1331,1365,5,1726.8,50,1854,0
G9,800,19176,-22.16,1507,1379,5,1763.6,50,1886,0
G10,800,19176,-68.7,1350,1420,5,1718.4,50,1801,0
G11,800,1600,16.64,434,400,5,447.2,50,462,627
G12,800,1600,-0.88,418,402,5,433.2,50,456,621
G13,800,1600,19.0,432,406,5,447.2,50,472,645
G14,800,4694,2343.94,2890,2946,5,2972.4,50,2987,3187
G15,800,4661,2329.24,2873,2901,5,2944.8,50,2966,3169
G16,800,4672,2328.84,2878,2929,5,2955.6,50,2975,3172
G17,800,4667,2325.78,2864,2920,5,2947.8,50,2968,0
G18,800,4694,28.78,780,723,5,827.6,50,872,0
G19,800,4661,-58.94,681,622,5,745.8,50,785,0
G20,800,4672,-18.76,698,693,5,753.4,50,831,0
G21,800,4667,-31.58,704,654,5,775.2,50,814,0
G22,2000,19990,9997.16,12346,12499,5,12854.0,50,12936,14123
G23,2000,19990,9980.74,12291,12484,5,12850.6,50,12935,14129
G24,2000,19990,10008.06,12367,12506,5,12891.8,50,12960,14131
G25,2000,19990,9984.26,12408,12547,5,12865.0,50,12925,0
G26,2000,19990,10000.54,12355,12553,5,12873.8,50,12954,0
G27,2000,19990,-25.88,2316,2291,5,2850.4,50,2910,0
G28,2000,19990,-56.54,2329,2326,5,2748.0,50,2839,0
G29,2000,19990,29.96,2367,2340,5,2843.6,50,2930,0
G30,2000,19990,61.82,2401,2465,5,2868.2,50,2937,0
G31,2000,19990,-46.46,2290,2315,5,2766.2,50,2874,0
G32,2000,4000,10.0,1058,1036,5,1104.0,50,1128,1560
G33,2000,4000,-14.88,1000,984,5,1078.0,50,1122,1537
G34,2000,4000,-27.48,988,946,5,1071.2,50,1116,1541
G35,2000,11778,5887.64,7252,7337,5,7429.8,50,7470,8000
G36,2000,11766,5890.42,7225,7333,5,7426.8,50,7461,7996
G37,2000,11785,5888.88,7264,7339,5,7443.0,50,7468,8009
G38,2000,11779,5882.92,7305,7377,5,7446.6,50,7468,0
G39,2000,11778,16.64,1861,1718,5,2020.0,50,2054,0
G40,2000,11766,-23.92,1834,1584,5,1950.0,50,2064,0
G41,2000,11785,3.26,1876,1650,5,1983.8,50,2070,0
G42,2000,11779,65.92,1989,1730,5,2062.0,50,2131,0
G43,1000,9990,5001.66,6188,6191,5,6420.0,50,6456,7027
G44,1000,9990,4994.96,6157,6302,5,6402.8,50,6467,7022
G45,1000,9990,4997.22,6179,6205,5,6422.8,50,6461,7020
G46,1000,9990,4995.7,6150,6266,5,6401.0,50,6467,0
G47,1000,9990,4991.5,6220,6231,5,6419.4,50,6485,0
G48,3000,6000,3003.36,6000,6000,5,6000.0,50,6000,6000
G49,3000,6000,2995.64,6000,6000,5,6000.0,50,6000,6000
G50,3000,6000,2999.76,5880,5856,5,5839.2,50,5860,5988
G51,1000,5909,2952.26,3626,3683,5,3726.8,50,3758,0
G52,1000,5916,2957.26,3650,3672,5,3725.8,50,3752,0
G53,1000,5914,2950.82,3632,3693,5,3727.0,50,3757,0
G54,1000,5916,2953.22,3633,3694,5,3734.4,50,3752,0
